Experimental Tm Analysis,,,,,,,,,,
,,,,,,,,,,
Instrument Name:,,,DU 800 Spectrophotometer,,,,,,,
Serial Number:,,,8001246,,,,,,,
Software Version:,,,"2.0,  Build 83",,,,,,,
Firmware Version:,,,2.0.081,,,,,,,
Method Name:,,,HP3,,,,,,,
Organization:,,,,,,,,,,
Department:,,,,,,,,,,
Operator:,,,,,,,,,,
Product Name:,,,,,,,,,,
Component Name:,,,,,,,,,,
Lot Number:,,,,,,,,,,
Comment:,,,,,,,,,,
Signature 1:,,,,,,,,,,
Signature 2:,,,,,,,,,,
Signature 3:,,,,,,,,,,
Signature 4:,,,,,,,,,,
Signature 5:,,,,,,,,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Justin HP_4\hp4ap3s Melt 1 022007.dux,,,,,,,
Date Acquired:,,,"February 20, 2007 9:16 AM",,,,,,,
,,,,,,,,,,
Analytical Wavelength:,,,280.0 nm,,,,,,,
Second Wavelength:,,,280.0 nm,,,,,,,
Use of 2nd WL:,,,None,,,,,,,
Calc Mode:,,,First Derivative,,,,,,,
70.2,,0.0069,,1.9057,,2.099,,0.8309,,
70.8,,0.0069,,1.9057,,2.1135,,0.8327,,
71.2,,0.0069,,1.9181,,2.1185,,0.834,,
71.7,,0.0069,,1.9182,,2.1235,,0.8359,,
72.2,,0.0068,,1.9214,,2.1287,,0.8393,,
72.7,,0.0069,,1.9309,,2.1337,,0.8416,,
73.1,,0.0069,,1.9342,,2.1442,,0.8434,,
73.7,,0.0069,,1.9407,,2.1495,,0.8458,,
74.2,,0.0069,,1.9407,,2.1549,,0.8477,,
74.7,,0.0068,,1.9509,,2.166,,0.8488,,
75.2,,0.0069,,1.9542,,2.1716,,0.8518,,
75.6,,0.0069,,1.9576,,2.1772,,0.8536,,
76.1,,0.0069,,1.9681,,2.183,,0.8556,,
76.6,,0.0069,,1.9717,,2.183,,0.8583,,
77.1,,0.0069,,1.9752,,2.1947,,0.8602,,
77.6,,0.007,,1.9824,,2.2067,,0.862,,
78,,0.0069,,1.9898,,2.2129,,0.8643,,
78.6,,0.0069,,2.0011,,2.2191,,0.8665,,
79.1,,0.0069,,2.0011,,2.2319,,0.8679,,
79.6,,0.007,,2.0049,,2.2319,,0.8701,,
80.2,,0.007,,2.0165,,2.245,,0.8724,,
80.6,,0.007,,2.0245,,2.245,,0.8747,,
81.1,,0.007,,2.0245,,2.2586,,0.8766,,
81.6,,0.0071,,2.0367,,2.2655,,0.8786,,
82.1,,0.007,,2.0367,,2.2655,,0.8804,,
82.5,,0.0071,,2.045,,2.2797,,0.8823,,
83,,0.0071,,2.0493,,2.287,,0.8835,,
83.5,,0.0071,,2.0535,,2.2944,,0.8852,,
84.1,,0.0071,,2.0578,,2.3019,,0.8864,,
84.6,,0.0072,,2.0665,,2.3019,,0.8881,,
85.2,,0.0072,,2.0665,,2.3174,,0.8895,,
85.6,,0.0072,,2.071,,2.3335,,0.891,,
86,,0.0072,,2.0754,,2.3253,,0.8922,,
86.5,,0.0072,,2.0845,,2.3417,,0.8933,,
87,,0.0073,,2.0891,,2.3501,,0.8948,,
87.5,,0.0073,,2.0938,,2.3674,,0.8959,,
88,,0.0074,,2.0938,,2.3763,,0.8971,,
88.5,,0.0074,,2.1032,,2.3762,,0.8985,,
89,,0.0074,,2.1081,,2.3763,,0.8988,,
89.5,,0.0075,,2.1179,,2.3947,,0.9,,
90,,0.0075,,2.1179,,2.3946,,0.9009,,
90.4,,0.0075,,2.1229,,2.414,,0.9015,,
90.9,,0.0076,,2.1279,,2.4139,,0.9038,,
91.4,,0.0076,,2.133,,2.4239,,0.9038,,
91.8,,0.0075,,2.1383,,2.4239,,0.9051,,
92.3,,0.0076,,2.1435,,2.4341,,0.906,,
92.6,,0.0075,,2.1435,,2.4341,,0.906,,
93.2,,0.0077,,2.1541,,2.4551,,0.9073,,
93.3,,0.0078,,2.1595,,2.4443,,0.9079,,
93.4,,0.0078,,2.1595,,2.455,,0.9082,,
93.6,,0.0078,,2.1706,,2.4773,,0.9091,,
93.9,,0.0079,,2.1705,,2.4888,,0.9097,,
94.4,,0.0079,,2.1819,,2.4888,,0.9105,,
94.7,,0.0079,,2.1819,,2.4888,,0.9121,,
95.5,,0.008,,2.1818,,2.5128,,0.9123,,
95.8,,0.008,,2.1876,,2.5254,,0.9129,,
96.4,,0.008,,2.1995,,2.5254,,0.9142,,
