Sample,Pathlength,Temperature,Absorbance, ,, ,, 
2,0.1,75.9,1.0374,,,,,
2,0.1,76.6,1.0383,,,,,
2,0.1,76.9,1.04,,,,,
2,0.1,77.4,1.04,,,,,
2,0.1,77.8,1.0418,,,,,
2,0.1,78.4,1.0418,,,,,
2,0.1,78.8,1.0431,,,,,
2,0.1,79.5,1.0431,,,,,
2,0.1,79.9,1.0439,,,,,
2,0.1,80.4,1.0453,,,,,
2,0.1,80.8,1.0453,,,,,
2,0.1,81.4,1.0466,,,,,
2,0.1,81.8,1.0466,,,,,
2,0.1,82.5,1.0484,,,,,
2,0.1,82.9,1.0493,,,,,
2,0.1,83.4,1.0506,,,,,
2,0.1,83.8,1.0515,,,,,
2,0.1,84.3,1.0533,,,,,
2,0.1,84.8,1.0542,,,,,
2,0.1,85.2,1.0556,,,,,
2,0.1,85.8,1.0565,,,,,
2,0.1,86.3,1.0578,,,,,
2,0.1,86.8,1.0592,,,,,
2,0.1,87.2,1.0596,,,,,
2,0.1,87.8,1.061,,,,,
2,0.1,88.3,1.0619,,,,,
2,0.1,88.7,1.0633,,,,,
2,0.1,89.5,1.0638,,,,,
3,0.5,11,0.662,,,,,
3,0.5,11.3,0.6622,,,,,
3,0.5,11.8,0.6623,,,,,
3,0.5,12.2,0.6627,,,,,
3,0.5,12.7,0.6631,,,,,
3,0.5,13.1,0.6647,,,,,
3,0.5,13.6,0.6655,,,,,
3,0.5,14.1,0.6656,,,,,
3,0.5,14.6,0.6655,,,,,
3,0.5,15.1,0.6653,,,,,
3,0.5,15.6,0.6651,,,,,
3,0.5,16,0.6651,,,,,
3,0.5,16.5,0.6655,,,,,
3,0.5,17,0.6658,,,,,
3,0.5,17.5,0.6671,,,,,
3,0.5,18,0.6666,,,,,
3,0.5,18.5,0.6668,,,,,
3,0.5,19,0.6671,,,,,
3,0.5,19.5,0.6673,,,,,
3,0.5,20,0.6677,,,,,
3,0.5,20.5,0.6679,,,,,
3,0.5,21,0.6682,,,,,
3,0.5,21.5,0.6686,,,,,
3,0.5,22,0.669,,,,,
3,0.5,22.5,0.6694,,,,,
3,0.5,23,0.6697,,,,,
3,0.5,23.5,0.6701,,,,,
3,0.5,24,0.6705,,,,,
3,0.5,24.5,0.6712,,,,,
3,0.5,25,0.6718,,,,,
3,0.5,25.5,0.6721,,,,,
3,0.5,26,0.6727,,,,,
3,0.5,26.4,0.6731,,,,,
3,0.5,26.8,0.6738,,,,,
3,0.5,27.2,0.6744,,,,,
3,0.5,27.6,0.675,,,,,
3,0.5,28.1,0.6753,,,,,
3,0.5,28.6,0.6761,,,,,
3,0.5,29,0.6769,,,,,
3,0.5,29.5,0.6776,,,,,
3,0.5,30,0.6784,,,,,
3,0.5,30.5,0.6793,,,,,
3,0.5,31,0.6805,,,,,
3,0.5,31.4,0.6812,,,,,
3,0.5,31.9,0.6824,,,,,
3,0.5,32.5,0.6835,,,,,
3,0.5,32.9,0.6849,,,,,
3,0.5,33.4,0.6858,,,,,
3,0.5,33.9,0.6872,,,,,
3,0.5,34.4,0.6887,,,,,
3,0.5,34.9,0.6901,,,,,
3,0.5,35.4,0.6917,,,,,
3,0.5,35.9,0.6932,,,,,
3,0.5,36.3,0.6944,,,,,
3,0.5,36.8,0.6964,,,,,
3,0.5,37.3,0.6978,,,,,
3,0.5,37.7,0.6992,,,,,
3,0.5,38.2,0.7012,,,,,
3,0.5,38.7,0.7026,,,,,
3,0.5,39.2,0.7048,,,,,
3,0.5,39.7,0.7068,,,,,
3,0.5,40.2,0.7086,,,,,
3,0.5,40.7,0.7107,,,,,
3,0.5,41.2,0.7123,,,,,
3,0.5,41.7,0.7146,,,,,
