Sample,Temperature,Absorbance,Pathlength
1,50.25,0.192687988,1
1,50.76,0.192474365,1
1,51.25,0.192993164,1
1,51.75,0.192642212,1
1,52.23,0.19303894,1
1,52.76,0.193237305,1
1,53.26,0.193145752,1
1,53.77,0.193649292,1
1,54.27,0.193466187,1
1,54.75,0.193435669,1
1,55.25,0.193267822,1
1,55.76,0.194030762,1
1,56.27,0.193664551,1
1,56.76,0.193756104,1
1,57.25,0.194061279,1
1,57.77,0.194732666,1
1,58.24,0.194320679,1
1,58.77,0.194580078,1
1,59.27,0.195098877,1
1,59.78,0.194702148,1
1,60.29,0.196456909,1
1,60.79,0.196090698,1
1,61.29,0.195755005,1
1,61.76,0.195755005,1
1,62.3,0.195480347,1
1,62.79,0.194168091,1
1,63.31,0.19519043,1
1,63.79,0.195098877,1
1,64.3,0.195602417,1
1,64.77,0.194564819,1
1,65.32,0.195510864,1
1,65.8,0.19569397,1
1,66.31,0.194549561,1
1,66.83,0.194747925,1
1,67.33,0.19493103,1
1,67.83,0.195739746,1
1,68.32,0.195373535,1
1,68.83,0.195755005,1
1,69.33,0.19619751,1
1,69.84,0.196121216,1
1,70.34,0.19581604,1
1,70.84,0.195495605,1
1,71.34,0.196594238,1
1,71.82,0.195831299,1
1,72.34,0.197296143,1
1,72.8,0.196426392,1
1,73.34,0.196304321,1
1,73.85,0.196548462,1
1,74.33,0.196975708,1
1,74.85,0.197113037,1
1,75.35,0.197265625,1
1,75.85,0.196746826,1
1,76.36,0.197463989,1
1,76.86,0.197677612,1
1,77.36,0.197631836,1
1,77.86,0.197418213,1
1,78.37,0.198547363,1
1,78.86,0.197952271,1
1,79.37,0.198852539,1
1,79.87,0.198684692,1
1,80.37,0.198730469,1
1,80.85,0.198913574,1
1,81.38,0.198928833,1
1,81.88,0.199508667,1
1,82.38,0.19960022,1
1,82.88,0.200210571,1
1,83.39,0.200469971,1
1,83.88,0.200927734,1
1,84.36,0.200637817,1
1,84.89,0.201171875,1
1,85.39,0.201263428,1
1,85.9,0.201187134,1
1,86.4,0.201431274,1
1,86.9,0.201431274,1
1,87.4,0.201812744,1
1,87.9,0.20173645,1
1,88.4,0.202301025,1
1,88.9,0.202316284,1
1,89.42,0.202651978,1
1,89.91,0.203781128,1
1,90.41,0.203521729,1
1,90.92,0.203445435,1
1,91.42,0.204086304,1
1,91.91,0.203704834,1
1,92.41,0.204223633,1
1,92.92,0.204711914,1
1,93.41,0.204681396,1
1,93.91,0.205596924,1
1,94.42,0.205307007,1
1,94.92,0.205535889,1
1,95.42,0.206298828,1
2,4.91,0.308563232,1
2,5.5,0.30821228,1
2,6.02,0.307922363,1
2,6.52,0.308288574,1
2,7.03,0.308898926,1
2,7.51,0.308578491,1
2,8.03,0.308624268,1
2,8.55,0.308456421,1
2,9.04,0.308609009,1
2,9.54,0.308364868,1
2,10.05,0.308731079,1
2,10.55,0.309371948,1
2,11.05,0.309173584,1
2,11.56,0.309280396,1
2,12.06,0.310058594,1
2,12.56,0.310180664,1
2,13.07,0.309509277,1
2,13.57,0.310302734,1
2,14.07,0.310272217,1
2,14.58,0.310409546,1
2,15.08,0.310501099,1
2,15.58,0.310699463,1
2,16.09,0.311599731,1
2,16.58,0.310852051,1
2,17.08,0.31161499,1
2,17.59,0.312103271,1
2,18.09,0.312072754,1
2,18.6,0.312698364,1
2,19.1,0.312957764,1
2,19.62,0.313552856,1
2,20.12,0.313552856,1
2,20.66,0.314025879,1
2,21.15,0.314987183,1
2,21.66,0.315155029,1
2,22.15,0.316009521,1
2,22.65,0.316497803,1
2,23.15,0.317123413,1
2,23.64,0.317718506,1
2,24.14,0.318328857,1
2,24.64,0.319091797,1
2,25.13,0.319625854,1
2,25.63,0.320755005,1
2,26.13,0.321258545,1
2,26.65,0.321914673,1
2,27.2,0.322952271,1
2,27.71,0.323913574,1
2,28.21,0.325469971,1
2,28.71,0.326141357,1
2,29.2,0.326538086,1
2,29.7,0.327835083,1
2,30.19,0.328826904,1
2,30.7,0.329940796,1
2,31.19,0.331054688,1
2,31.69,0.332397461,1
2,32.18,0.332946777,1
2,32.68,0.333587646,1
2,33.19,0.334259033,1
2,33.69,0.335494995,1
2,34.19,0.33682251,1
2,34.68,0.337554932,1
2,35.19,0.338241577,1
2,35.68,0.339614868,1
2,36.19,0.340255737,1
2,36.69,0.34147644,1
2,37.2,0.342529297,1
2,37.7,0.342926025,1
2,38.21,0.343887329,1
2,38.7,0.344680786,1
2,39.21,0.344802856,1
2,39.71,0.345779419,1
2,40.22,0.346374512,1
2,40.71,0.346969604,1
2,41.21,0.347473145,1
2,41.72,0.348022461,1
2,42.23,0.348693848,1
2,42.72,0.349029541,1
2,43.23,0.349060059,1
2,43.73,0.349273682,1
2,44.23,0.349411011,1
2,44.73,0.350219727,1
2,45.24,0.350692749,1
2,45.73,0.350082397,1
2,46.23,0.34992981,1
2,46.73,0.350402832,1
2,47.24,0.35093689,1
2,47.96,0.351089478,1
2,48.72,0.351333618,1
2,49.24,0.351745605,1
2,49.74,0.351776123,1
2,50.25,0.351257324,1
2,50.76,0.352127075,1
2,51.25,0.352279663,1
2,51.75,0.35118103,1
2,52.23,0.351593018,1
2,52.76,0.351974487,1
2,53.25,0.351638794,1
2,53.76,0.351333618,1
2,54.27,0.351150513,1
2,54.75,0.351394653,1
2,55.25,0.352096558,1
2,55.76,0.351776123,1
2,56.27,0.352111816,1
2,56.77,0.351791382,1
2,57.25,0.352111816,1
2,57.77,0.352050781,1
2,58.25,0.352645874,1
2,58.78,0.352310181,1
2,59.27,0.35269165,1
2,59.78,0.352081299,1
2,60.29,0.353118896,1
2,60.79,0.352874756,1
2,61.3,0.353240967,1
2,61.77,0.353393555,1
2,62.3,0.353179932,1
2,62.79,0.352813721,1
2,63.31,0.35333252,1
2,63.79,0.353225708,1
2,64.3,0.353210449,1
2,64.78,0.35345459,1
2,65.32,0.354095459,1
2,65.8,0.353607178,1
2,66.31,0.353530884,1
2,66.82,0.353927612,1
2,67.32,0.35383606,1
2,67.83,0.354629517,1
2,68.32,0.353713989,1
2,68.84,0.35395813,1
2,69.34,0.354980469,1
2,69.84,0.354370117,1
2,70.34,0.354263306,1
2,70.84,0.354187012,1
2,71.33,0.354293823,1
2,71.83,0.354507446,1
2,72.35,0.354141235,1
2,72.8,0.354217529,1
2,73.34,0.354553223,1
2,73.85,0.355117798,1
2,74.33,0.354949951,1
2,74.85,0.354782104,1
2,75.35,0.355148315,1
2,75.86,0.355194092,1
2,76.36,0.355529785,1
2,76.86,0.355270386,1
2,77.35,0.355514526,1
